wallet_address,timestamp,transaction_hash,from_address,to_address,value_eth,gas_price,gas_used,is_error,transaction_type
0x58b6a8a3302369daec383334672404ee733ab239,2018-05-01 18:32:26,0x5aa7e5f2a3a863b3560977befe5a879568a6fc9386dc1c85bb63216eab768180,0x74119e85a22e7aacb435c674675f5896237be159,0x58b6a8a3302369daec383334672404ee733ab239,0.0,2.0,22285.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2018-05-01 21:07:03,0x81cb758231bab989092b314d2e6fc5824480652538690e48a02dd18579e777cb,0xbdf6e91249c335ddf3f656c465326a69c13e1eb0,0x58b6a8a3302369daec383334672404ee733ab239,0.0,1.5,22285.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2018-05-01 21:27:06,0x02f3c438089414b507d6f42622a2c3d5a09c93a2aafbc7ab0b4f8dfe5c1521cd,0x5d6d21f70eaeb5ddb25df672333bdae55ffe2d83,0x58b6a8a3302369daec383334672404ee733ab239,0.0,3.0,22285.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2018-05-01 21:31:34,0xe94bf7265e8f9ed7a1e979402cc64181bb727a3916415be0bdbbee0826a7005a,0xc7d6d54a4360b42fa0759e12de990bfd4b13d3c3,0x58b6a8a3302369daec383334672404ee733ab239,0.0,3.0,45697.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2018-05-01 21:50:57,0x3a0ec18221a1ab6fc721d05e0a9550ac22956e797fe2d873eeada9efb27be795,0xdbed04c170257081fa5e0b3f8467a675343c87f2,0x58b6a8a3302369daec383334672404ee733ab239,0.0,2.2,45697.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2018-05-01 22:00:41,0x9229c4573e06dca4bd353244ed2f1863a400c10932e36c3e7b1e856771918146,0x026a5552d6ebe49b3d38f82028b0a58a856d1a1f,0x58b6a8a3302369daec383334672404ee733ab239,0.0,3.0,45633.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2018-05-01 22:50:27,0xfe1bab45f82f335388a6bbba66576c505f4e5a1433ebb68ad78f590131964172,0xdbed04c170257081fa5e0b3f8467a675343c87f2,0x58b6a8a3302369daec383334672404ee733ab239,0.0,2.2,30697.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2018-05-01 23:06:21,0x13e272ecca6eabe5bf2ab1c947cf77d7abf88c6c21621ed3e18cfde6644ae790,0xdbed04c170257081fa5e0b3f8467a675343c87f2,0x58b6a8a3302369daec383334672404ee733ab239,0.0,2.0,30697.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2018-05-01 23:10:04,0xbf5124c911d4da9ed7df69fe5bcf4b11f66df4ebba471bac641410d0d77d57df,0xdbed04c170257081fa5e0b3f8467a675343c87f2,0x58b6a8a3302369daec383334672404ee733ab239,0.0,4.0,30697.0,False,incoming
0x58b6a8a3302369daec383334672404ee733ab239,2018-05-01 23:15:12,0x456e68eb21894f60964bc041a511a9d0f1fe98e102a9b9893dbfe900e097e46d,0x5d030bfd0287007b7626648668b027c7922a1315,0x58b6a8a3302369daec383334672404ee733ab239,0.0,2.0,45633.0,False,incoming
